idx,label
1,0
2,1
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,1
11,1
12,0
13,0
14,1
15,0
16,0
17,1
18,1
19,1
20,1
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,1
30,0
31,1
32,0
33,0
34,1
35,1
36,0
37,0
38,1
39,1
40,1
41,1
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,0
60,0
61,1
62,0
63,1
64,0
65,0
66,1
67,1
68,0
69,1
70,0
71,1
72,1
73,0
74,0
75,1
76,0
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,1
90,0
91,1
92,0
93,0
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,1
102,1
103,0
104,1
105,0
106,0
107,0
108,0
109,1
110,0
111,1
112,0
113,0
114,1
115,0
116,0
117,1
118,1
119,0
120,0
121,0
122,0
123,0
124,1
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,1
136,0
137,1
138,1
139,1
140,0
141,0
142,0
143,1
144,1
145,1
146,1
147,0
148,1
149,0
150,0
151,0
152,1
153,0
154,1
155,0
156,1
157,1
158,1
159,1
160,1
161,0
162,0
163,1
164,0
165,1
166,1
167,1
168,0
169,0
170,1
171,1
172,0
173,0
174,1
175,0
176,0
177,0
178,0
179,1
180,1
181,0
182,0
183,0
184,1
185,1
186,0
187,1
188,1
189,0
190,0
191,1
192,1
193,0
194,0
195,0
196,0
197,1
198,1
199,1
200,1
201,0
202,0
203,0
204,0
205,1
206,1
207,0
208,0
209,1
210,0
211,0
212,1
213,1
214,1
215,1
216,1
217,0
218,0
219,1
220,0
221,0
222,0
223,1
224,1
225,0
226,1
227,1
228,1
229,0
230,0
231,0
232,0
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,0
242,0
243,1
244,0
245,1
246,0
247,1
248,1
249,1
250,1
251,0
252,0
253,0
254,1
255,1
256,1
257,0
258,1
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,1
267,1
268,0
269,0
270,1
271,0
272,1
273,0
274,1
275,0
276,1
277,0
278,0
279,1
280,1
281,1
282,0
283,1
284,0
285,1
286,1
287,0
288,0
289,1
290,1
291,1
292,1
293,1
294,0
295,1
296,1
297,1
298,0
299,1
300,1
301,0
302,0
303,1
304,0
305,1
306,1
307,0
308,0
309,0
310,1
311,0
312,1
313,0
314,1
315,0
316,0
317,1
318,0
319,1
320,1
321,1
322,1
323,0
324,1
325,1
326,1
327,1
328,1
329,0
330,1
331,1
332,1
333,1
334,0
335,0
336,0
337,1
338,0
339,0
340,0
341,1
342,0
343,0
344,1
345,0
346,1
347,1
348,0
349,1
350,0
351,0
352,1
353,0
354,0
355,0
356,0
357,0
358,0
359,1
360,1
361,0
362,0
363,1
364,1
365,0
366,1
367,0
368,1
369,0
370,0
371,0
372,0
373,1
374,1
375,1
376,1
377,0
378,0
379,0
380,1
381,1
382,1
383,1
384,0
385,1
386,1
387,1
388,0
389,1
390,0
391,0
392,1
393,1
394,1
395,0
396,0
397,0
398,1
399,0
400,0
401,1
402,0
403,1
404,1
405,1
406,0
407,1
408,1
409,1
410,0
411,1
412,0
413,0
414,0
415,1
416,0
417,1
418,1
419,1
